	text	labels
417721	I'm not... I don't know the answer to that, Mr. Chief Justice.	1
1548521	But in this context, perhaps we should not import public forum analysis.	0
1915816	And so from the individual's perspective, her interest in -- it's the same in avoiding the dog sniff as it is in avoiding a warrant check or any other incident of a stop.	0
107339	Well, Mr. Roberts, do they in Alaska have to go personally or not?	1
5802098	that is not a tax...	1
605004	--But you don't weigh future dangerousness against that as you put it.	1
84744	And so what... in your view, the nursing homes have to wait for a deficiency citation?	0
1095453	Well, there's certainly no ex post facto problem there, is there?	1
4634860	quintessential...	1
1955518	I think once the Court said in Caballes that -- that it is permissible in some circumstances to perform a dog sniff during a traffic stop, then--	0
8382429	Or maybe another house that...	1
373707	But AT&T didn't bring an antitrust action.	0
7344192	We can say you've changed the law and therefore it's ex post facto, but we don't decide for ourselves over the... overruling a State court what that particular law said at a particular time.	1
9381976	[Laughter]	1
5525980	Why, in answer to Justice Ginsburg, does the government take the view it does?	1
6337049	It might violate some other clause like the substantive due process.	1
7097756	Miss -- Miss Brink --	1
8117778	I am sure the other side says that the code does not eliminate any cause of action that the sub has against the prime.	1
2032992	[Laughter]	1
4702588	Now, that happens not... that happens not to help the respondent here.	1
1378173	What would have happened if the disclosure about Albuterol was made before the company announced revenue shortfalls?	1
1622489	We have a different system that we think works as well.	0
9048077	--and... and upset what's going on all across the country?	1
4655921	Now, the Ninth Circuit seems to have applied some kind of a per se rule.	1
7734464	Well, but that... doesn't that sort of beg the question?	1
2304607	And several circuits have allowed the All Writs Act to be used in this fashion, do you think?	0
438820	How... how is it possible then that that section has any effect on any preemption affected by PWSA or the other... or PTSA?	0
3612210	On what basis?	1
2629139	I... I think weren't there about four relatives who testified?	1
7666536	[Laughter]	1
9208805	Thank you.	1
2312134	expected?	0
7435784	Is that still before us?	1
1132668	I don't know why you have to go on with this, has to be adjudicated on the merits argument.	1
664037	Is it the burden of the State, if they're going to use shackles, to somehow establish that it's needed?	0
8070611	How is there State action?	1
8605970	there's...	1
7073512	is a collateral attack, the employee says, look, I filed a grievance and it's pending, what then is the burden of proof by the Government employer?	1
1230382	Because that one is not very attractive.	0
5614728	I mean, it's rather crucial to your case.	1
4473955	[Laughter]	1
8154530	and on this...	1
6999711	So, it's hard to look at it as a field preemption case.	1
6411729	Because it doesn't make any difference.	1
119240	--If it is the end of the traffic stop, it is not.	0
2316633	The trunk of the vehicle did not have to be opened here.	0
444597	Do you take the position that you can file a suit against the tribe?	1
9230952	Every one of these contracts says the arbitrator will follow the law, the arbitrator has no power to commit errors of law.	1
4167772	rules required.	1
5581691	Okay but that's, I mean, that may be a very good argument to Congress, maybe a dangerous argument because the soft money opponents may find something to run with there, but I'm not sure that it's an argument, and I realize you were asked to get into this, but I'm not sure that it's an argument that's going to help us decide this case.	1
7996999	Would... would your client fall under little (i) as a result of what happened?	1
6446040	Who would have thought that?	1
5192675	And certainly I think... I agree with Justice O'Connor.	1
1574877	Those have been Establishment Clause challenges, and we had a...  the Witters case from your state, and determined that the Establishment Clause is not violated by giving aid to the blind, which is used then to study for the ministry, right?	0
8573807	Well, does this district have the authority to so provide for its own purchases?	1
5218539	If if there were some other legal proceeding.	1
1906358	that is not a tax...	1
2204403	Well, let me ask you, if we think they're right, and if we were to opt for what the majority of the courts of appeals have held, then could this applicant have developed a factual basis in State proceedings in Virginia?	0
124287	And the State's own expert said in Mr. Crane's trial that approximately seventy-five percent of the prison population has antisocial personality disorder.	0
8017049	But presumably for the hotels that are not on fee land, at least, they are not... the guests are not paying a state tax or a county tax.	1
8342980	--explain that to me?	1
6390978	Right.	1
923747	Is that the majority view of lower courts today?	0
1604414	Okay--	1
2223615	I'm worried about the implications there for the compliance by a state with a mandate of the Supreme Court and that's what I'd like you to think through for me.	1
9654812	--Mr.... yes, Mr. Olson.	1
4251927	Absolutely not.	1
563794	--be a QDRO, though?	1
521214	Do we know?	1
3756730	The official capacity suits have been dropped.	1
7242998	arbitrator. The...	1
5835718	Now I'll tell you how you give me $76,000 more.	1
1120150	all right.	0
6455751	There are no such cases.	1
4341964	I mean, a lot of people have to go in and report different things, send in forms, give their pictures, even give their fingerprints.	1
195974	But the normal rules of retroactivity do not apply uniformly to every matter governed by a statute.	1
261119	The defendant understood that he would receive a sentence of 15 years to life.	0
2153268	You're saying, then, that when the AEDPA says constitutional right it really means any sort of a right claimed under a Federal statute?	1
1873895	Well, what if the coal miner digs into the coal and in the process releases this gas that you say the petitioner owns?	1
7608798	not?	1
5214757	Isn't that a status?	1
1960422	--by the state.	0
7039987	But as a practical matter, what would happen to the coal miners who are trying to take out the coal and at the same time releasing gas, if your position is correct?	1
6266072	On the other hand, if your position is right, then this association, where most of the members are public school principals, can decide as far as the Fourteenth Amendment is concerned, we don't want to have any teams for girls.	1
9241494	Would the court be wrong to say that there's a quasi... would the court be wrong to say there's a quasi suspect class here, or suspect class?	1
2375732	Well, but I mean, I--	1
1436595	What's the court going to do then, and yet here's a personal jurisdiction issue just sitting there, right there, that the court could decide.	0
2350519	That's correct,	1
7886778	It's a perfectly plausible alternative forum.	1
9211718	that's not the case with question one.	1
6582830	We now have...	1
142323	Isn't that the consequence of your position?	1
637092	Then you have 30 days or whatever it is to go to the court of appeals.	0
8443126	--I mean, just while you were on the jurisdictional mysticism of, you know, whether it dissolves or where the jurisdiction is, as I read this, and tell me if this is correct or not, whether it supports you or not, I want to know if it is right.	1
7162746	And I have to say even as a threshold matter, I don't know why that implies an economic criterion in some different way than a reference to or a different degree than a reference to individual health would do.	1
2108603	And you're talking now about post eligibility?	0
5002553	Mr. Porter, I don't think that on its face it says that.	1
1847551	Well, in the post-conviction proceeding, as I recall, what was raised was ineffective assistance of counsel primarily.	0
2174387	I thought you said it turned on the date of the award, regardless of when the work was performed.	0
2527539	and coming back and...	1
5378996	Now, what's the answer?	1
530577	I think in the cases it takes anywhere from 30 seconds to 90 seconds to do a dog sniff.	0
5342884	[Laughter]	1
8670498	All right.	1
1306429	But my experience... if I understand you correctly, it would be relevant... it seems to me the vast percentage, maybe the overwhelming percentage of cases on appeal in habeas proceedings do have to do with procedural issues, whether there was an adequate State ground, whether there's a basis for new evidence and therefore you're excused from not raising the claim before, things like that, and your position is that all those, you can't get a COA at all.	1
3046335	I suppose the most likely scenario for significant contribution would be the notion that I will give this money, and expect in return that if and when I ever call this particular official, if the official is elected, they'll pay attention to me.	1
2225873	--that there could be a claim based on design defect, that there could be a claim saying there were off-label oral statements made that amounted to fraud or misleading--	1
871947	It is property, before it's asserted.	1
7379456	So we have to decide that, do we?	1
320311	And since that is the case, I think that the officer can incrementally extend the stop so long as the ultimate duration of the stop is--	0
4494718	No, but seriously, I mean, what... how could that standard ever be satisfied in the case Justice Breyer gave you, except on... you know, some silly assumption like that?	1
6239229	an objection to the --	1
8206518	Well... well, is that rational basis review the one we would employ in reviewing legislation passed by Congress concerning immigration policy?	1
9475448	--so I assume the analogy is exact.	1
428279	Well, does the right to association while in prison survive in some form, do you think?	0
4559935	worth of wages.	1
7628935	lesser included offense.	1
724692	The idea that this country when it...  when it provides tax exemptions or cash to citizens to educate their children, cannot single out for discriminatory treatment the Catholic or the religious person is not a far-reaching...  well, it may have been far-reaching at the time, and thank heavens that it is, that this principle as the...  I think one of the questions, I think it was Justice O'Connor's question, asked with respect to the funding cases and this Court dealt specifically with that in the Maher v. Roe case when it said the funding cases do not control the significantly different context in which a funding decision impinges upon the constitutionally-imposed government obligation of neutrality required by the religion clauses.	1
3409775	no limit on what they can do here.	1
4526801	They're taxed differently.	1
9002084	If they had a policy of not prosecuting minimal amounts of possession of marijuana, then I take it, it would or would not be reasonable to go in?	1
7367430	Why?	1
53948	And is it open to us, in the habeas context, to take a narrow view of that?	1
1748444	The State law does not prohibit that?	1
2097052	are...	1
8142948	to u-	1
5180060	But in order to say the number is no good, you're still challenging something which, at least on its face, has been authorized by FERC.	1
5751827	I just thought it was a little curious that if some means of solving this had been offered, why we're here.	1
7680541	[Laughter]	1
2800952	Have they ever represented that they did, in fact, comply with the statutes concerning the level of compensation?	1
1685205	party's contract...	1
9195081	And then if you win, instead of $4,000, he could take $80,000 through the party.	1
6588681	But all you are telling me, General, is that... is that there are... there are reasons why one would pick the higher levels and not pick the lower levels.	1
4503453	which they might prefer to do.	1
4939533	court of appeal...	1
8772501	Well, that doesn't shrink the jurisdiction.	1
7210788	filed...	1
27217	May I ask whether you think your client was a State actor before... 1995, was it, they changed the rules?	1
4232477	Well, I'm not sure it is.	1
2198285	I'm not saying legitimate or not, but in my own mind, I thought the relevant distinction turned on taking the area previously available for advertising.	1
2042635	The...	1
5909919	But you said they couldn't do that on remand.	1
6199543	If you file a notice of appeal, a brand new case starts in the court of appeals.	1
149548	And it -- it is also fair to the plaintiff to be able to pursue this claim, these claims, some of which have nothing to do with the outcome.	0
2008575	Well, in... in Batson, I guess the opinion for the Court suggested that it was basing it on the title VII cases, the McDonnell Douglas formula.	0
2929348	This part of your argument it seems to me contradicts your first.	1
5814207	because the British...	1
4986136	We had been.	1
1361967	It is used in -- in the appropriate cases.	0
6640132	And would it be a reasonable set back requirement, I suppose it would, but you'd still say it would be a taking.	1
1986667	Now, what's the response to that?	1
786739	First, where the defendant inquires about appeal rights, and then secondly where there are circumstances indicating the defendant may benefit from such advice.	0
3418798	or adult motels.	1
524698	The statute has to be narrowly tailored, we contend, but at least closely drawn to pursue the Federal interest.	1
6937190	What you seem to be asking is to infer from that treaty that the prior unlawful land sales of the Oneida's New York reservations were somehow ratified.	1
1246542	defendants under those circumstances.	1
2325782	All right, so if you assume a Senate race that costs $4 million, let's say, the difference would be between whether you had to find 50 willing donors with families or a thousand.	1
3050744	Thank you.	1
6232194	Maybe it wasn't an Estelle v Smith violation at all.	1
6842319	I'm assuming they exist.	1
7781970	And I thought that we had to address this facial challenge insofar as it affects the new policy.	1
6788894	until his...	1
2439371	Yes, and I also have it in on page twelve of the joint appendix.	1
3190233	The contingence fee would be reduced dollar for dollar by the recovery on--	1
243025	And if the judge feels that, whoa, you know, we better hold things up here because there is a direct conflict and one party may be prejudiced if they continue at the same time, I -- I think that's really where the analysis is. So, basically, the -- the Petitioner is asking the Court, I know my malicious prosecution case has been dismissed, but I want you to review this claim as though it was a malicious prosecution claim.	0
2116012	May I ask one preliminary question, Mr. Phillips?	0
4224328	[Laughter]	1
3515925	I mean, is it enough to cite a Federal constitutional provision or a Federal statute or other provision describing the right as Federal?	1
6665081	Then the irrationality apparently started with this Court.	1
172733	And so should we apply that test here to those early statements?	0
2347492	--I don't see how the Sixth Circuit judgment can stand in light of Murray v. Carrier.	0
3271064	Could the State ban adults from receiving advertising of that sort?	1
4071693	or that...	1
7340859	What about a forum selection clause?	1
1057374	It's not clear to me at all.	0
8470862	Mr. Hundley, you have 2 minutes remaining.	1
845455	consensus...	1
9591552	Well, but of course the evidence of dangerousness is perhaps more precise than the mitigating evidence.	1
7373466	going to do?	1
4639259	Yeah, but the Court went on to say that this was a free exercise violation as well as a First Amendment violation.	1
1327275	You mean you say the answer is to let the party tell the voters before the primary election which candidate they support?	0
9059992	As defined in the statute.	1
387096	This... the trunk of the car didn't have to be opened here.	0
2067342	and are reasonable, they must be withheld -- upheld.	1
1088884	I mean, there are situations in cases -- we cited this in Footnote 20 of our brief where you have the dog arriving just as the officer is about to give the ticket.	0
105967	Now, the prisoner says no, I don't want to participate in that program.	0
2979686	--based on the information that they had?	1
5167620	Well, I think we may be playing with words.	1
8439012	It might be useful to say they were wrong in--	1
2162628	Well...	0
4026241	I would have thought it was proceeding on the designated broker theory.	1
5400699	You say no, it doesn't.	1
6926710	Well, so there was a suspicion of that back in '80?	1
7348411	And it's not a brief of yours, and by what authority did you file it, if I may ask?	1
2090093	Should we certify a question back to the California Supreme Court and say, was this a reasonable time?	0
151621	Well, maybe they did, but is it not the case that we normally defer to courts of appeals on questions of state law on issues of standing?	0
2256726	He must be diligent going towards the investigation of the traffic stop.	0
2189924	A backwards looking assessment--	1
1671010	Other courts have?	0
3547779	[Laughter]	1
7918962	Rodgers where the...	1
3002972	Would it be enforceable or not?	1
1164365	--what we suggested in Chickasaw Nation.	1
1080053	Well, I guess the court, the Sixth Circuit pulled that out of Qualitex' opinion.	0
7280583	I don't want to consume your...	1
2781983	Can you just not want to have anything to do with them?	1
2146199	who had not been convicted of crimes and who had not been placed on probation.	1
1342954	If I...	1
807957	Isn't that the other element?	0
2686150	another worker.	1
2009545	Well, but let's suppose it wants to establish a standard to apply now and in the future for itself and for any other jurisdiction, public jurisdiction, within its area?	0
4694996	Is there such a price today that could be paid if a farmer were to go out and buy water from another farmer who had some?	1
3755283	absolutely.	1
5777318	--so I assume the analogy is exact.	1
2381233	And he's at level three?	0
2672997	So fact limits what is... what can be considered as conceivable.	1
6134007	Throughout your opening brief, you never referred to that statute.	1
542732	Well, you have... you've answered these questions with some qualification.	1
240691	You shouldn't use elements from a discrete 1983 case to assess the validity of an independent and discrete 1983 case. So I think that because of this tortured argument importing unrelated elements merely to salvage a time-barred case, it defaces the -- the -- the Petitioner's claim, transforming it into something else.	0
4316561	The honorable court is now adjourned until Monday next at 10 o'clock.	1
1014274	But it's not recognized in the Federal statute or in the regulations.	0
3562308	No other State does that.	1
8433857	With respect to a party not being named at all.	1
6357427	fifty-eight A thirty-one twenty is where thirty-one twenty-one Q appears, and remember that is a section that provides definitions.	1
3233278	interpretation does.	1
8974344	basis for infal-	1
6157632	It also was fed to cattle, which, in turn, went on the interstate market.	1
5633367	It's a kind of garnishment, I guess, and that's what makes it a little different from the ordinary contract case.	1
2383856	Do... do beneficiaries of SSI funds have a Federal right that they can enforce through a section 1983 action to have the representative payee act in their best interests?	0
4402695	where...	1
8713601	That's what I want to know.	1
8297515	Your answer is yes.	1
7131682	But do you agree that the... even if two parochial schools were playing each other?	1
8343564	I mean, that's not the way we analyze contracts.	1
1459555	Has the State paid the attorney's fees up to that date?	0
289142	timely objected.	1
9108330	Why should Kansas be rewarded with interest for that delay, even if it was not undue?	1
133095	Is there anything in the record--	1
4814506	You're both in agreement that would do?	1
4121949	one part --	1
6891991	Mr. Roberts, on that point you said this is truthful information, and it is.	1
907609	history...	1
9144397	We so held in Karcher, the Karcher case from New Jersey, didn't we?	1
8937044	How about coal?	1
4571120	He's relying on... that's why you have an expert witness, to some extent, upon the credibility of the expert witness.	1
1964517	Do you concede that the statute is valid as to the limitation on addresses of crime victims?	0
6027709	Well, I thought we'd held in Allied-Signal that it violates the Due Process Clause--	1
154166	Isn't it there also an efficiency in just sending it back for new trial right away, rather than going through all of the other claimed errors?	1
614282	Yeah, it's the highway department purchasers.	1
1107591	can happen. And...	1
1900881	What we have is a system that allows a reasonable time.	0
5116526	Well, that's true.	1
2021069	And on that, do we look at the whole State and what would happen overall, or do we just focus on individual legislative senatorial districts?	0
9288210	All right.	1
7233931	Well--	1
1286271	Yes.	0
5334773	Yes, Your Honor.	1
9550217	[Laughter]	1
1587303	They set up some procedures, you don't like them... sorry.	1
304236	Is that your position?	1
